Date,Price,Open,High,Low,Change %,,,,,,,
8/12/2021,583.64,583.64,583.64,578.77,0.71,,,,,,,
8/11/2021,579.5,579.5,581.9,578.18,-0.08,,,,,,,
8/10/2021,579.99,579.99,581.2,578.5,-0.15,,,,,,,
8/9/2021,580.86,580.86,581.09,575.71,0.1,,,,,,,
8/6/2021,580.27,580.27,581.14,577.23,0.33,,,,,,,
8/5/2021,578.38,578.38,578.43,573.14,0.87,,,,,,,
8/4/2021,573.39,573.39,575.63,572.78,-0.39,,,,,,,
8/3/2021,575.63,575.63,575.63,570.15,0.52,,,,,,,
8/2/2021,572.65,572.65,573.3,570.44,0.39,,,,,,,
7/30/2021,570.44,570.44,572.27,569.49,-0.08,,,,,,,
7/29/2021,570.87,570.87,572.34,568.81,-0.24,,,,,,,
7/28/2021,572.22,572.22,572.55,563.76,1.5,,,,,,,
7/27/2021,563.76,563.76,568.39,563.47,-0.81,,,,,,,
7/26/2021,568.39,568.39,568.39,564.53,0.64,,,,,,,
7/23/2021,564.77,564.77,565.15,559.12,0.86,,,,,,,
7/22/2021,559.95,559.95,566.6,559.95,-0.57,,,,,,,
7/21/2021,563.18,563.18,567.03,561.82,-0.12,,,,,,,
7/20/2021,563.86,563.86,566.7,562.79,0.11,,,,,,,
7/19/2021,563.26,563.26,569.29,563.11,-0.49,,,,,,,
7/16/2021,566.04,566.04,566.63,564.04,0.33,,,,,,,
7/15/2021,564.18,564.18,565.86,563,0.14,,,,,,,
7/14/2021,563.4,563.4,567.39,561.35,-0.43,,,,,,,
7/13/2021,565.86,565.86,566.48,562.46,0.35,,,,,,,
7/12/2021,563.91,563.91,563.91,560.3,0.47,,,,,,,
7/9/2021,561.27,561.27,567.26,555.09,1.11,,,,,,,
7/8/2021,555.09,555.09,557.46,553.86,0.22,,,,,,,
7/7/2021,553.86,553.86,554.21,548.43,0.99,,,,,,,
7/6/2021,548.43,548.43,552.21,543.88,-0.65,,,,,,,
7/5/2021,552.02,552.02,552.02,543.01,0.23,,,,,,,
7/2/2021,550.76,550.76,556.43,550.7,-0.87,,,,,,,
