category,name,ingredient_direction,quantity,unit,ingredient,note
Contemporary Classics,Sea Breeze,120 ml Cranberry Juice,120,ml,Cranberry Juice,
Contemporary Classics,Sea Breeze,30 ml Grapefruit Juice,30,ml,Grapefruit Juice,
Contemporary Classics,Sex on the Beach,40 ml Vodka,40,ml,Vodka,
Contemporary Classics,Sex on the Beach,20 ml Peach Schnapps,20,ml,Peach Schnapps,
Contemporary Classics,Sex on the Beach,40 ml Fresh Orange Juice,40,ml,Fresh Orange Juice,
Contemporary Classics,Sex on the Beach,40 ml Cranberry Juice,40,ml,Cranberry Juice,
Contemporary Classics,Singapore Sling,30 ml Gin,30,ml,Gin,
Contemporary Classics,Singapore Sling,15 ml Cherry liqueur,15,ml,Cherry liqueur,
Contemporary Classics,Singapore Sling,7.5 ml Cointreau,7.5,ml,Cointreau,
Contemporary Classics,Singapore Sling,7.5 ml DOM Bénédictine,7.5,ml,DOM Bénédictine,
Contemporary Classics,Singapore Sling,120 ml Fresh Pineapple Juice,120,ml,Fresh Pineapple Juice,
Contemporary Classics,Singapore Sling,15 ml Fresh Lime Juice,15,ml,Fresh Lime Juice,
Contemporary Classics,Singapore Sling,10 ml Grenadine Syrup,10,ml,Grenadine Syrup,
Contemporary Classics,Singapore Sling,A dash of Angostura bitters,1,dash,Angostura bitters,
Contemporary Classics,Tequila Sunrise,45 ml Tequila,45,ml,Tequila,
Contemporary Classics,Tequila Sunrise,90 ml Fresh Orange Juice,90,ml,Fresh Orange Juice,
Contemporary Classics,Tequila Sunrise,15 ml Grenadine Syrup,15,ml,Grenadine Syrup,
Contemporary Classics,Vesper,45 ml Gin,45,ml,Gin,
Contemporary Classics,Vesper,15 ml Vodka,15,ml,Vodka,
Contemporary Classics,Vesper,7.5 ml Lillet Blanc,7.5,ml,Lillet Blanc,
Contemporary Classics,Zombie,45 ml Jamaican dark rum,45,ml,Jamaican dark rum,
Contemporary Classics,Zombie,45 ml Gold Puerto Rican rum,45,ml,Gold Puerto Rican rum,
Contemporary Classics,Zombie,30 ml Demerara Rum,30,ml,Demerara Rum,
Contemporary Classics,Zombie,20 ml Fresh lime juice,20,ml,Fresh lime juice,
Contemporary Classics,Zombie,15 ml Falernum,15,ml,Falernum,
Contemporary Classics,Zombie,15 ml Donn's Mix,15,ml,Donn's Mix,
Contemporary Classics,Zombie,1 tsp Grenadine syrup,1,teaspoon,Grenadine syrup,
Contemporary Classics,Zombie,1 dash Angostura bitters,1,dash,Angostura bitters,
Contemporary Classics,Zombie,6 drops Pernod,6,drops,Pernod,
New Era Drinks,Barracuda,45 ml Gold Rum,45,ml,Gold Rum,
New Era Drinks,Barracuda,15 ml Galliano,15,ml,Galliano,
New Era Drinks,Barracuda,60 ml Fresh Pineapple Juice,60,ml,Fresh Pineapple Juice,
New Era Drinks,Barracuda,1 dash Fresh Lime Juice,1,dash,Fresh Lime Juice,
New Era Drinks,Barracuda,Top up with Prosecco,1,top up,Prosecco,
New Era Drinks,Bee's Knees,52.5 ml Dry Gin,52.5,ml,Dry Gin,
New Era Drinks,Bee's Knees,2 teaspoons Honey Syrup,2,teaspoon,Honey Syrup,
New Era Drinks,Bee's Knees,22.5 ml Fresh Lemon Juice,22.5,ml,Fresh Lemon Juice,
New Era Drinks,Bee's Knees,22.5 ml Fresh Orange Juice,22.5,ml,Fresh Orange Juice,
New Era Drinks,Bramble,50 ml Gin,50,ml,Gin,
New Era Drinks,Bramble,25 ml Fresh Lemon Juice,25,ml,Fresh Lemon Juice,
New Era Drinks,Bramble,12.5 ml Sugar Syrup,12.5,ml,Sugar Syrup,
New Era Drinks,Bramble,15 ml Crème de Mûre,15,ml,Crème de Mûre,
New Era Drinks,Canchanchara,60 ml Cuban Aguardiente,60,ml,Cuban Aguardiente,
New Era Drinks,Canchanchara,15 ml Fresh Lime Juice,15,ml,Fresh Lime Juice,
New Era Drinks,Canchanchara,15 ml Raw Honey,15,ml,Raw Honey,
New Era Drinks,Canchanchara,50 ml Water,50,ml,Water,
New Era Drinks,Dark ‘n' stormy,60 ml Goslings Rum,60,ml,Goslings Rum,
New Era Drinks,Dark ‘n' stormy,100 ml Ginger Beer,100,ml,Ginger Beer,
New Era Drinks,Espresso Martini,50 ml Vodka,50,ml,Vodka,
New Era Drinks,Espresso Martini,30 ml Kahlúa,30,ml,Kahlúa,
New Era Drinks,Espresso Martini,10 ml Sugar Syrup,10,ml,Sugar Syrup,
New Era Drinks,Espresso Martini,1 strong Espresso,1,shot,strong Espresso,
New Era Drinks,Fernandito,50 ml Fernet Branca,50,ml,Fernet Branca,
New Era Drinks,Fernandito,Fill up with Cola,1,fill up,Cola,
New Era Drinks,French Martini,45 ml Vodka,45,ml,Vodka,
New Era Drinks,French Martini,15 ml Raspberry Liqueur,15,ml,Raspberry Liqueur,
